遗址名称,关系类型,关系名称,主体,主体类型,客体,客体类型,页码,置信度,上下文
"三门峡漕运遗迹","REL_SITE_CONTAINS","包含","三门峡漕运遗迹","遗址名称","T2","遗迹编号",12,0.7,"EAS A IEE TL, AVIRE T2, AVIRE TS, AVIEE TH"
"三门峡漕运遗迹","REL_SITE_CONTAINS","包含","三门峡漕运遗迹","遗址名称","T7","遗迹编号",12,0.7,"TS, AVIEE TO, AVIBE T7, AVIBETS, AVIEET9, "
"三门峡漕运遗迹","REL_SITE_CONTAINS","包含","三门峡漕运遗迹","遗址名称","T3","遗迹编号",12,0.7,"9, AVIEE TIL, AVIEE T3, bP T2, DAME T3(矢见下"
"三门峡漕运遗迹","REL_SITE_ERA","年代为","三门峡漕运遗迹","遗址名称","三国","年代",15,0.5," 请吏作一示意图(图六)。 水径注上记载三国际期诸笠栈。。。 园五 aL RR 道的"
"三门峡漕运遗迹","REL_SITE_ERA","年代为","三门峡漕运遗迹","遗址名称","三国","年代",18,0.5,"Stet  侧壁上有题记 2 段,其一局三国时期。 从本段北端狠策向北约 30 余米"
"三门峡漕运遗迹","REL_SITE_CONTAINS","包含","三门峡漕运遗迹","遗址名称","G38","遗迹编号",24,0.7,", ZETA EP RE EAR AS G38, PHT SRR A, BELA V "
"三门峡漕运遗迹","REL_MEASUREMENT","测量为","G38","遗迹编号"," 1.5米","测量数据",24,0.55,"S 0.15 —2.5 9K, AMEE 1.5米左右;高程坊 284.5一284.9 米"
"三门峡漕运遗迹","REL_MEASUREMENT","测量为","G38","遗迹编号","284.9 米","测量数据",24,0.55,"EE 1.5米左右;高程坊 284.5一284.9 米。楼道顶高 2.5一 3 米,其西端长网"
"三门峡漕运遗迹","REL_MEASUREMENT","测量为","G38","遗迹编号","
3 米","测量数据",24,0.55,".5一284.9 米。楼道顶高 2.5一 3 米,其西端长网 3.5 米的一段没有顶部,"
"三门峡漕运遗迹","REL_MEASUREMENT","测量为","G38","遗迹编号"," 3.5 米","测量数据",24,0.55,"。楼道顶高 2.5一 3 米,其西端长网 3.5 米的一段没有顶部,其余地方顶部保存以好(图"
"三门峡漕运遗迹","REL_MEASUREMENT","测量为","G38","遗迹编号"," 23 厘米","测量数据",24,0.55,"           |  | ASHE 23 厘米。     212) 13) 15 打破"
"三门峡漕运遗迹","REL_STRATIGRAPHY","层位关系","三门峡漕运遗迹","遗址名称","打破","层位关系",24,0.6,"厘米。     212) 13) 15 打破T3 (时器天年一 公元260 | 13"
"三门峡漕运遗迹","REL_SITE_CONTAINS","包含","三门峡漕运遗迹","遗址名称","T5","遗迹编号",43,0.7,"元年(公元150 年) 的一段(人出段 T5); Jt, SL AAVA 9 Be "
"三门峡漕运遗迹","REL_SITE_ERA","年代为","三门峡漕运遗迹","遗址名称","东汉","年代",43,0.5,"怖楼道开束时间的下限。题询中年代最早的是东汉和平元年(公元150 年) 的一段(人出"
"三门峡漕运遗迹","REL_MEASUREMENT","测量为","T5","遗迹编号"," 32 厘米","测量数据",43,0.55,"(开排印本)中著估的宽靖牙尺,当时一尺入 32 厘米， 四十丈折合今日尺度篇 128米，而人"
"三门峡漕运遗迹","REL_MEASUREMENT","测量为","T5","遗迹编号"," 128米","测量数据",43,0.55,"尺入 32 厘米， 四十丈折合今日尺度篇 128米，而人门初道全长却有625米,从柬到尾都"
"三门峡漕运遗迹","REL_MEASUREMENT","测量为","T5","遗迹编号","625米","测量数据",43,0.55,"今日尺度篇 128米，而人门初道全长却有625米,从柬到尾都有孔眼,可知嘉靖 工程所整石"
"三门峡漕运遗迹","REL_MEASUREMENT","测量为","T5","遗迹编号"," 2 m","测量数据",43,0.55," 的工程是什么?  [CD Sra cm 2 mA,  一29一 "
"三门峡漕运遗迹","REL_STRATIGRAPHY","层位关系","三门峡漕运遗迹","遗址名称","打破","层位关系",43,0.6,"".  图 在人出段上, 6 号方形公孔打破了甘露五年题取(T5)。      ae"
"三门峡漕运遗迹","REL_SITE_CONTAINS","包含","三门峡漕运遗迹","遗址名称","T12","遗迹编号",51,0.7,"UER AHR, BZN” (BANE T12).,  “POT WF WIN ACA"
"三门峡漕运遗迹","REL_SITE_CONTAINS","包含","三门峡漕运遗迹","遗址名称","T8","遗迹编号",51,0.7,"G Ae = HAH HRCA VBE T8)5 DA Be A AN AT 1 段"
"三门峡漕运遗迹","REL_UNIT_TYPE","类型为","T12","遗迹编号","基址","遗迹类型",51,0.65,"门 峡 注 到 得 中  基址工柱穴登甩表 《单位起厘米)  司局光 "
"三门峡漕运遗迹","REL_UNIT_TYPE","类型为","T8","遗迹编号","基址","遗迹类型",51,0.65,"门 峡 注 到 得 中  基址工柱穴登甩表 《单位起厘米)  司局光 "
"三门峡漕运遗迹","REL_SITE_CONTAINS","包含","三门峡漕运遗迹","遗址名称","T35","遗迹编号",54,0.7,"所够刻(图版肆抢, 2)。 题烈的年代，T35 篇金代，T30一32 与 T34 大狗"
"三门峡漕运遗迹","REL_SITE_CONTAINS","包含","三门峡漕运遗迹","遗址名称","T34","遗迹编号",54,0.7,"年代，T35 篇金代，T30一32 与 T34 大狗需北来或金代,其允是明代门。道路饶"
